metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.271538521791023,112,0,0
rmse,0,2.1092220420676235,112,0,1
rmse,0,2.219984247499259,112,0,2
rmse,0,2.1488788508728143,111,0,3
rmse,0,2.0289644140020413,111,0,4
rmse,0,1.7956895913511366,112,1,0
rmse,0,2.4352290752523365,112,1,1
rmse,0,2.0352253059578276,112,1,2
rmse,0,2.4630015754535206,111,1,3
rmse,0,2.1760615409711903,111,1,4
rmse,0,2.245522208320888,112,2,0
rmse,0,2.2580588861491675,112,2,1
rmse,0,2.036473228612122,112,2,2
rmse,0,2.4114688192676694,111,2,3
rmse,0,2.121051083873914,111,2,4
rmse,0,2.260763526641209,112,3,0
rmse,0,2.2475970720793033,112,3,1
rmse,0,2.3299610411433966,112,3,2
rmse,0,1.9536018311950925,111,3,3
rmse,0,2.2606187614922977,111,3,4
rmse,0,2.029347416488407,112,4,0
rmse,0,2.286689017503031,112,4,1
rmse,0,2.0294609288596113,112,4,2
rmse,0,2.3442160882514615,111,4,3
rmse,0,2.1394553273523944,111,4,4
