metric,no_targets_columns,value,n_samples,seed,split
rmse,0,2.088980110574189,112,0,0
rmse,0,1.9535761648653653,112,0,1
rmse,0,2.3981283922455865,112,0,2
rmse,0,2.010169600507626,111,0,3
rmse,0,2.0361452192311877,111,0,4
rmse,0,1.8583711069392974,112,1,0
rmse,0,2.3575881776101704,112,1,1
rmse,0,2.096472327517434,112,1,2
rmse,0,2.1453111109539327,111,1,3
rmse,0,2.186571515654938,111,1,4
rmse,0,2.038741343223819,112,2,0
rmse,0,2.0202850994730897,112,2,1
rmse,0,1.8457125974545414,112,2,2
rmse,0,2.332434807005772,111,2,3
rmse,0,2.0253518586839894,111,2,4
rmse,0,1.7985736953764961,112,3,0
rmse,0,2.2907734156564374,112,3,1
rmse,0,2.2468150730015313,112,3,2
rmse,0,1.941076366809361,111,3,3
rmse,0,2.0395402117979335,111,3,4
rmse,0,2.036837954848747,112,4,0
rmse,0,1.9982072045507022,112,4,1
rmse,0,2.0873840947087174,112,4,2
rmse,0,2.2545876816784065,111,4,3
rmse,0,1.8592521098588157,111,4,4
