metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.43045697084068957,52,0,0
rmse,0,0.5785032223526987,51,0,1
rmse,0,0.6378560106225978,51,0,2
rmse,0,0.7051492905396997,51,0,3
rmse,0,0.6676597124206136,51,0,4
rmse,0,0.6314255063953323,52,1,0
rmse,0,0.6914339823892671,51,1,1
rmse,0,0.5593140019253612,51,1,2
rmse,0,0.43341522572606644,51,1,3
rmse,0,0.861167774609055,51,1,4
rmse,0,0.7362489391559628,52,2,0
rmse,0,0.5937628987338546,51,2,1
rmse,0,0.6255175378962194,51,2,2
rmse,0,0.7532990137064176,51,2,3
rmse,0,0.4694964321414382,51,2,4
rmse,0,0.7076243520440003,52,3,0
rmse,0,0.362021308227834,51,3,1
rmse,0,0.6485136644603624,51,3,2
rmse,0,0.6657084400524766,51,3,3
rmse,0,0.7510705714231978,51,3,4
rmse,0,0.6426480668592245,52,4,0
rmse,0,0.5400911609084996,51,4,1
rmse,0,0.6771657999586183,51,4,2
rmse,0,0.48375599572659017,51,4,3
rmse,0,0.7193152524662436,51,4,4
