metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.40692240505078375,52,0,0
rmse,0,0.38055621782507776,51,0,1
rmse,0,0.4562122801182368,51,0,2
rmse,0,0.363287713012309,51,0,3
rmse,0,0.5570388499012563,51,0,4
rmse,0,0.36175341698065805,52,1,0
rmse,0,0.40696592606691495,51,1,1
rmse,0,0.4068314233354911,51,1,2
rmse,0,0.4383296812935391,51,1,3
rmse,0,0.5440944181178649,51,1,4
rmse,0,0.42978930062578874,52,2,0
rmse,0,0.3946561024375457,51,2,1
rmse,0,0.3910917332611517,51,2,2
rmse,0,0.5034462098082378,51,2,3
rmse,0,0.44755077341740107,51,2,4
rmse,0,0.5769330678149209,52,3,0
rmse,0,0.4546885253063487,51,3,1
rmse,0,0.40648812634395587,51,3,2
rmse,0,0.37363149156641634,51,3,3
rmse,0,0.3937342628557206,51,3,4
rmse,0,0.5353659461719485,52,4,0
rmse,0,0.48016847206260527,51,4,1
rmse,0,0.394914143545306,51,4,2
rmse,0,0.323665847283015,51,4,3
rmse,0,0.40075297862633036,51,4,4
