metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.5405642257162081,52,0,0
rmse,0,0.5116195343928214,51,0,1
rmse,0,0.5577735182850403,51,0,2
rmse,0,0.4406596594175527,51,0,3
rmse,0,0.6899583898764149,51,0,4
rmse,0,0.5395541941050296,52,1,0
rmse,0,0.5075070187797514,51,1,1
rmse,0,0.5166232001203825,51,1,2
rmse,0,0.521852912742533,51,1,3
rmse,0,0.6313276629403849,51,1,4
rmse,0,0.537351828329462,52,2,0
rmse,0,0.5242934769955317,51,2,1
rmse,0,0.5187431529825921,51,2,2
rmse,0,0.6257721307509442,51,2,3
rmse,0,0.5293132218408073,51,2,4
rmse,0,0.6403069743119042,52,3,0
rmse,0,0.6091604572020609,51,3,1
rmse,0,0.48574394811104366,51,3,2
rmse,0,0.5270208802268913,51,3,3
rmse,0,0.4833265983331627,51,3,4
rmse,0,0.5732195851348636,52,4,0
rmse,0,0.613743670701432,51,4,1
rmse,0,0.5273442770346353,51,4,2
rmse,0,0.48563271952686465,51,4,3
rmse,0,0.5122291333434371,51,4,4
