metric,no_targets_columns,value,n_samples,seed,split
rmse,0,0.3731116086546854,52,0,0
rmse,0,0.37905641881912955,51,0,1
rmse,0,0.5664681828331946,51,0,2
rmse,0,0.6197472645580989,51,0,3
rmse,0,0.535731085540957,51,0,4
rmse,0,0.46546340557241517,52,1,0
rmse,0,0.5502150704090798,51,1,1
rmse,0,0.4659072285498522,51,1,2
rmse,0,0.3437941964205165,51,1,3
rmse,0,0.6613415149871412,51,1,4
rmse,0,0.6392371757177004,52,2,0
rmse,0,0.5395199005862445,51,2,1
rmse,0,0.4204883724860708,51,2,2
rmse,0,0.4348563635281764,51,2,3
rmse,0,0.39882695229592735,51,2,4
rmse,0,0.39336232496522344,52,3,0
rmse,0,0.34639840542876127,51,3,1
rmse,0,0.5660071054424555,51,3,2
rmse,0,0.4757651255053559,51,3,3
rmse,0,0.6608776709498779,51,3,4
rmse,0,0.5669264861433032,52,4,0
rmse,0,0.48488692357749225,51,4,1
rmse,0,0.6175255973335165,51,4,2
rmse,0,0.32967823227928783,51,4,3
rmse,0,0.5743920125579456,51,4,4
