metric,no_targets_columns,value,n_samples,seed,split
rmse,0,10.918225308984146,64,0,0
rmse,0,13.930112410129158,64,0,1
rmse,0,9.331443933983424,64,0,2
rmse,0,10.853896185792847,63,0,3
rmse,0,10.57572482773857,63,0,4
rmse,0,10.871144247257792,64,1,0
rmse,0,12.685642541818938,64,1,1
rmse,0,13.163199111732707,64,1,2
rmse,0,16.852466735918753,63,1,3
rmse,0,10.710420213754423,63,1,4
rmse,0,19.79329349680945,64,2,0
rmse,0,11.918542441117884,64,2,1
rmse,0,9.874675160445006,64,2,2
rmse,0,10.370587959077646,63,2,3
rmse,0,18.646643891750255,63,2,4
rmse,0,11.807270055645478,64,3,0
rmse,0,15.42027918244614,64,3,1
rmse,0,11.302407801132244,64,3,2
rmse,0,11.330787259044959,63,3,3
rmse,0,13.0845481382405,63,3,4
rmse,0,12.31920000418251,64,4,0
rmse,0,16.79870624113235,64,4,1
rmse,0,10.521603344895945,64,4,2
rmse,0,9.323512757344742,63,4,3
rmse,0,12.221843537830082,63,4,4
