metric,no_targets_columns,value,n_samples,seed,split
rmse,0,10.802497138343849,64,0,0
rmse,0,13.912560022342543,64,0,1
rmse,0,9.39566122369224,64,0,2
rmse,0,10.881011158486592,63,0,3
rmse,0,10.647510321764134,63,0,4
rmse,0,10.455614443362482,64,1,0
rmse,0,12.525886922249104,64,1,1
rmse,0,13.351360752864288,64,1,2
rmse,0,16.643853740081497,63,1,3
rmse,0,10.716664517857017,63,1,4
rmse,0,19.7102125907313,64,2,0
rmse,0,11.705556053351847,64,2,1
rmse,0,9.854262381939964,64,2,2
rmse,0,10.278825890715385,63,2,3
rmse,0,18.65182934100078,63,2,4
rmse,0,12.02872088653815,64,3,0
rmse,0,15.187068296485204,64,3,1
rmse,0,11.282045161266693,64,3,2
rmse,0,11.21840710118963,63,3,3
rmse,0,13.075641241428329,63,3,4
rmse,0,12.61525844558523,64,4,0
rmse,0,16.790716743172503,64,4,1
rmse,0,10.397152837288516,64,4,2
rmse,0,9.085665501935086,63,4,3
rmse,0,12.128467053639804,63,4,4
