metric,no_targets_columns,value,n_samples,seed,split
rmse,0,11.744237124178383,64,0,0
rmse,0,17.932102035630432,64,0,1
rmse,0,11.392305888621545,64,0,2
rmse,0,17.641774390256206,63,0,3
rmse,0,11.033961404495102,63,0,4
rmse,0,17.691955907382553,64,1,0
rmse,0,23.717966718397598,64,1,1
rmse,0,13.79608324305593,64,1,2
rmse,0,20.431620798705396,63,1,3
rmse,0,11.373394200558758,63,1,4
rmse,0,29.731169255036498,64,2,0
rmse,0,12.116869889253344,64,2,1
rmse,0,18.57490083793646,64,2,2
rmse,0,16.677664278414312,63,2,3
rmse,0,20.700304141413817,63,2,4
rmse,0,16.123646825889242,64,3,0
rmse,0,19.633224230250004,64,3,1
rmse,0,14.938868632469433,64,3,2
rmse,0,11.284838322812655,63,3,3
rmse,0,14.905538139327673,63,3,4
rmse,0,17.38842860225873,64,4,0
rmse,0,25.714422048883495,64,4,1
rmse,0,12.053289740260912,64,4,2
rmse,0,15.930281138893687,63,4,3
rmse,0,18.955069661738094,63,4,4
