metric,no_targets_columns,value,n_samples,seed,split
rmse,0,10.25385640731793,64,0,0
rmse,0,9.280409726621814,64,0,1
rmse,0,8.524983886670249,64,0,2
rmse,0,9.73729477195224,63,0,3
rmse,0,9.644897177709469,63,0,4
rmse,0,9.657440332743583,64,1,0
rmse,0,10.191223516382628,64,1,1
rmse,0,9.672676628947364,64,1,2
rmse,0,11.823303285308558,63,1,3
rmse,0,7.606088063995413,63,1,4
rmse,0,8.789382148237731,64,2,0
rmse,0,10.684056775246502,64,2,1
rmse,0,9.949032573606672,64,2,2
rmse,0,10.12258602105443,63,2,3
rmse,0,10.518948957090135,63,2,4
rmse,0,9.858297298432761,64,3,0
rmse,0,9.450835601502064,64,3,1
rmse,0,8.819588498892088,64,3,2
rmse,0,10.614702933087855,63,3,3
rmse,0,9.916354310141685,63,3,4
rmse,0,10.027270416879489,64,4,0
rmse,0,10.020929923667412,64,4,1
rmse,0,10.09234394893006,64,4,2
rmse,0,9.685696009660822,63,4,3
rmse,0,10.465620495116376,63,4,4
