metric,no_targets_columns,value,n_samples,seed,split
rmse,0,14.198231595354637,64,0,0
rmse,0,14.687140999549584,64,0,1
rmse,0,12.098509814297165,64,0,2
rmse,0,14.462373087192438,63,0,3
rmse,0,13.447291295780905,63,0,4
rmse,0,13.069635785976315,64,1,0
rmse,0,13.992448004592088,64,1,1
rmse,0,13.500315065681518,64,1,2
rmse,0,13.96349829871616,63,1,3
rmse,0,14.640603324329888,63,1,4
rmse,0,14.00463477956407,64,2,0
rmse,0,16.760300302031624,64,2,1
rmse,0,10.832953538361673,64,2,2
rmse,0,11.253967258775125,63,2,3
rmse,0,16.296770103922707,63,2,4
rmse,0,12.832821348793152,64,3,0
rmse,0,13.143504127499275,64,3,1
rmse,0,16.8938509348512,64,3,2
rmse,0,12.04017867719611,63,3,3
rmse,0,12.388081101656066,63,3,4
rmse,0,16.015063590948618,64,4,0
rmse,0,12.72060022132529,64,4,1
rmse,0,14.895654883208866,64,4,2
rmse,0,11.506065274860273,63,4,3
rmse,0,14.373477720510863,63,4,4
