metric,no_targets_columns,value,n_samples,seed,split
rmse,0,10.95120723233221,64,0,0
rmse,0,22.574821110449125,64,0,1
rmse,0,8.793046425730978,64,0,2
rmse,0,16.39122090733527,63,0,3
rmse,0,8.483053680924998,63,0,4
rmse,0,18.437875373623584,64,1,0
rmse,0,23.090652962976122,64,1,1
rmse,0,13.704451580215576,64,1,2
rmse,0,20.190093730284637,63,1,3
rmse,0,10.56517176749291,63,1,4
rmse,0,32.55953979289823,64,2,0
rmse,0,8.39720567100716,64,2,1
rmse,0,19.37248833869509,64,2,2
rmse,0,14.870146718541346,63,2,3
rmse,0,23.667755611951534,63,2,4
rmse,0,21.063375561985236,64,3,0
rmse,0,17.182002819754416,64,3,1
rmse,0,17.567100666289083,64,3,2
rmse,0,11.018355975148598,63,3,3
rmse,0,15.683477680673535,63,3,4
rmse,0,22.012425175333224,64,4,0
rmse,0,27.023133873267827,64,4,1
rmse,0,9.63069262975246,64,4,2
rmse,0,13.432235168665603,63,4,3
rmse,0,19.69602713446233,63,4,4
