metric,no_targets_columns,value,n_samples,seed,split
rmse,0,10.869154812510116,64,0,0
rmse,0,10.53494081102113,64,0,1
rmse,0,10.312880392526779,64,0,2
rmse,0,12.41646138130166,63,0,3
rmse,0,10.274214789704569,63,0,4
rmse,0,11.40575900781528,64,1,0
rmse,0,17.997324251511014,64,1,1
rmse,0,10.04787579866761,64,1,2
rmse,0,14.355348134098623,63,1,3
rmse,0,9.586141609512335,63,1,4
rmse,0,18.489313197570382,64,2,0
rmse,0,10.603584950510587,64,2,1
rmse,0,14.125170468201448,64,2,2
rmse,0,11.338569390178815,63,2,3
rmse,0,13.2344473427953,63,2,4
rmse,0,11.859529047334107,64,3,0
rmse,0,8.20322952022258,64,3,1
rmse,0,11.513003385904376,64,3,2
rmse,0,11.113557118648611,63,3,3
rmse,0,10.977720812793837,63,3,4
rmse,0,10.259778945770636,64,4,0
rmse,0,14.509152043949296,64,4,1
rmse,0,13.352776876204674,64,4,2
rmse,0,10.914328853564834,63,4,3
rmse,0,14.230812164869311,63,4,4
