metric,no_targets_columns,value,n_samples,seed,split
rmse,0,72.75709638203743,64,0,0
rmse,0,82.9784220489863,64,0,1
rmse,0,86.02008913991219,64,0,2
rmse,0,90.78680636242179,63,0,3
rmse,0,66.59586438140288,63,0,4
rmse,0,85.3515160930673,64,1,0
rmse,0,100.18413553213584,64,1,1
rmse,0,76.40474214461075,64,1,2
rmse,0,80.27060518044196,63,1,3
rmse,0,78.04396301024867,63,1,4
rmse,0,59.92388025476411,64,2,0
rmse,0,76.97651602553414,64,2,1
rmse,0,110.55324560495045,64,2,2
rmse,0,102.06495685243907,63,2,3
rmse,0,83.0224087316911,63,2,4
rmse,0,85.61077917612393,64,3,0
rmse,0,84.14516151276659,64,3,1
rmse,0,78.69895246558842,64,3,2
rmse,0,57.42785291630551,63,3,3
rmse,0,94.96761432345609,63,3,4
rmse,0,80.89609777763803,64,4,0
rmse,0,114.10962443359271,64,4,1
rmse,0,70.52651460799865,64,4,2
rmse,0,89.9322167213697,63,4,3
rmse,0,98.38127825067026,63,4,4
