paper,target,model,fp kernel,count kernel,mixing method,rmse_avg,rmse_stdev,rmse_seed_fold_scores,r2_avg,r2_stdev,r2_seed_fold_scores,mae_avg,mae_stdev,mae_seed_fold_scores,cvpp_ama_avg,cvpp_ama_stdev,cvpp_ama_seed_fold_scores,nll_avg,nll_stdev,nll_seed_fold_scores,ece_avg,ece_stdev,ece_seed_fold_scores,Cv_avg,Cv_stdev,Cv_seed_fold_scores,RUSC_avg,RUSC_stdev,RUSC_seed_fold_scores,Running time (GPU),Running time (CPU)
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),RF,,,,0.20405244543017645,0.04946071898213101,"[0.1408477143753201, 0.21571136715257114, 0.20904812795584093, 0.19166704860151487, 0.3008683869908667, 0.1590041045091304, 0.2641114450437776, 0.13298205428650756, 0.26442059141684143, 0.17056338076797328, 0.14541216397693685, 0.2125201104140081, 0.2549794172953685, 0.22588750794887055, 0.17276326071711817]",0.8778646160333214,0.055119181034536995,"[0.9382524420154333, 0.8895842890247807, 0.8574301293353526, 0.8948582656534801, 0.7753576270775917, 0.9244799950574034, 0.825476649109742, 0.9460866042356428, 0.8206577314218205, 0.9173443945312973, 0.9524937472711386, 0.8687533884215681, 0.7808430095211141, 0.8670516625747327, 0.9092993052487246]",0.12167982333772638,0.02797540834869639,"[0.09251297099185876, 0.15357873806476785, 0.09840297174784063, 0.10257716156244781, 0.16902181607793676, 0.10285117927408316, 0.12661449398501243, 0.08922997211823121, 0.1756409439293743, 0.10269721526150269, 0.10123936190877342, 0.14278046291410246, 0.1457227099678606, 0.12452081107509486, 0.09780654118700888]",0.10974794704206471,0.04179943518445806,"[0.1135897435897436, 0.0450326797385621, 0.14712418300653596, 0.153921568627451, 0.1143137254901961, 0.05730769230769231, 0.1707843137254902, 0.07483660130718954, 0.06372549019607843, 0.1594117647058823, 0.15858974358974356, 0.1266013071895425, 0.09640522875816995, 0.11392156862745098, 0.050653594771241844]",-0.2523006935610098,0.4108517442412406,"[0.5822419319240517, -0.4435409223406651, 0.20005095172677587, -0.6099310522691971, -0.37585913385443237, -0.15659411545220972, -0.3512123946055325, -0.5003715641818401, 0.5707176026543693, -0.7419311128641906, -0.7285291807567494, -0.47791485856542393, 0.05841871752005671, -0.5328801622621667, -0.2771751100879935]",0.06008597285067873,0.02011211761556292,"[0.05961538461538461, 0.025686274509803913, 0.07549019607843137, 0.06568627450980392, 0.07941176470588233, 0.031923076923076936, 0.08333333333333334, 0.03980392156862746, 0.05588235294117646, 0.0892156862745098, 0.08269230769230769, 0.06411764705882353, 0.05705882352941177, 0.06411764705882353, 0.02725490196078433]",0.8472012991662606,0.06963852089638055,"[0.9699548948130595, 0.8265677773208319, 0.880205949779573, 0.8616640997118693, 0.8587812956346633, 0.9006847161344415, 0.7726793558569585, 0.8849319544872356, 0.7272964757569638, 0.8289114090401078, 0.7741087587940123, 0.7774851646158425, 0.8821268633367298, 0.7877227480952015, 0.9748980241164178]",0.6649227857048027,0.1000173717981421,"[0.5484194575537941, 0.778016609254366, 0.5015160475237597, 0.6959355737747485, 0.7803145202104796, 0.7784134687846596, 0.557310286103869, 0.6339951512304085, 0.6648261085389142, 0.6954219591327125, 0.7916569036209058, 0.7602325967238613, 0.5401063503283695, 0.5455368289240464, 0.702139923867145]",,9.627
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),XGBR,,,,0.19209725723559382,0.07100247484582976,"[0.14242802416002043, 0.17299206894508407, 0.2984943874647292, 0.22732164462150237, 0.19901911132988098, 0.09285365868581845, 0.25177335775981535, 0.08192477667376588, 0.3519981554246308, 0.16002897576690966, 0.1844972930963579, 0.12621579085906, 0.2390302675678818, 0.1981540759748271, 0.15472727020362328]",0.8828776588881699,0.0866689546513247,"[0.9368590549055242, 0.9289871085795239, 0.7093251016450275, 0.8521021690953017, 0.9017057466921288, 0.9742460777207116, 0.8414016576103054, 0.9795383267992106, 0.6821860984600079, 0.9272391152237232, 0.9235232722781591, 0.9537069899789898, 0.8074023983889548, 0.8976931996159216, 0.927248566329059]",0.10078540487217331,0.028917277541346396,"[0.08584476868446679, 0.10954156733330017, 0.12921569699609783, 0.10953991543336082, 0.09552493747581958, 0.06065824993868592, 0.11376838330146863, 0.06119141554508426, 0.17689962686197366, 0.09301244186016387, 0.09018069837989605, 0.07851021653817275, 0.12516893567290727, 0.11072217444756642, 0.07200204461363574]",,,,,,,,,,,,,,,,,8.996
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),NGB,,,,0.19822773908375385,0.03397282415872454,"[0.156881503489761, 0.19019994276008204, 0.17330526002177324, 0.23668467116150552, 0.23516047686354677, 0.14120609954997265, 0.23820283571494677, 0.15560491485000935, 0.24266855518243308, 0.19121029328413555, 0.23062734116131522, 0.16064505540404297, 0.22736559763225234, 0.2026875796510234, 0.1909659595295081]",0.8883411105712319,0.03379229506356465,"[0.9233938450504022, 0.9141568640811134, 0.9020152071883986, 0.839667896842582, 0.8627642604780165, 0.9404403340834057, 0.8580377236025141, 0.9261828570095203, 0.8489505586695878, 0.8961220774863073, 0.8804991803447859, 0.9250066490850553, 0.8257412537573361, 0.8929583596824765, 0.8891795912069752]",0.1350911438083618,0.02021111305870218,"[0.11343954274126845, 0.13767098997180208, 0.11385310973285843, 0.14104873116649191, 0.1579524435664126, 0.09921585013694628, 0.16360959114987414, 0.10789476952587257, 0.1658880104130909, 0.14307531345799526, 0.1457865354969034, 0.1210464772072723, 0.1529344191126235, 0.13967196949658872, 0.12327940394942664]",0.08290966985084634,0.04344668218845458,"[0.045769230769230805, 0.08529411764705888, 0.03496732026143792, 0.06568627450980395, 0.11339869281045756, 0.017564102564102575, 0.11143790849673209, 0.058496732026143826, 0.18006535947712424, 0.11862745098039218, 0.030769230769230802, 0.10490196078431377, 0.14084967320261443, 0.06816993464052291, 0.06764705882352945]",-0.14734564583528786,0.3927632726259932,"[-0.45005426994772674, -0.29139512575183635, -0.09672675567248633, -0.164801162582136, 0.2297518673907263, -0.8492851564280834, 0.4919314919068764, -0.4326210894269327, 0.48444323307757003, 0.03719225094925476, -0.559433226460977, -0.3694736495561318, 0.44061380109590315, -0.36559942111137284, -0.3147274750119652]",0.056102061337355465,0.02409140265806417,"[0.03461538461538462, 0.04137254901960784, 0.022549019607843123, 0.059411764705882365, 0.09313725490196077, 0.06730769230769232, 0.051960784313725486, 0.03705882352941177, 0.10254901960784316, 0.06098039215686276, 0.020000000000000007, 0.05117647058823529, 0.07509803921568628, 0.08529411764705883, 0.03901960784313725]",0.5619818084992831,0.09277808258116728,"[0.3942988278260766, 0.5427285137343439, 0.515053189422641, 0.7280362097826768, 0.6661455987200894, 0.601482285815828, 0.6025062470220092, 0.4970351412899025, 0.5438957716330303, 0.4912789356304445, 0.7045191088441226, 0.42164964517756914, 0.6223198977276065, 0.5088461356696252, 0.5899316191932811]",0.5310259740633555,0.11951205578568659,"[0.5088285163904446, 0.5564028990050015, 0.4724038929408008, 0.6571709619389329, 0.6076980593510186, 0.48045434075801613, 0.6404656018002388, 0.3800164944928975, 0.4466120714828142, 0.23967953771378686, 0.6864856856975978, 0.520108909018677, 0.4754836550398138, 0.693487810165502, 0.6000911751547904]",,18.198
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroMCMC,TanimotoMatern32,Matern32,sum,0.3313708788493514,0.03537080886836643,"[0.26365332690974524, 0.3479250169144919, 0.3388957471831879, 0.31993691044115447, 0.3862870646289372, 0.2768525648066702, 0.340173838379825, 0.3070557452593852, 0.4028635324823746, 0.33606216064144745, 0.3397601513159149, 0.3303351827649819, 0.3614288509673221, 0.3071870045602021, 0.31214608548463085]",0.6904392510226762,0.06336143375946499,"[0.7836351585919674, 0.7127525879447916, 0.6253140330076672, 0.7070396006282138, 0.6296955821088381, 0.7710490543642077, 0.7104784327524893, 0.7125614142572175, 0.5836984503578855, 0.6791219935963253, 0.7406452642045497, 0.6828989378878121, 0.5596573887405092, 0.7541307817218618, 0.7039100851758062]",0.22547168193968686,0.024756824063504657,"[0.18789171219835232, 0.2393517492295823, 0.19729001485801054, 0.2061581481117316, 0.27940050715511766, 0.2057806659747184, 0.23523937747722085, 0.21069436806517927, 0.22157013238507944, 0.2583024242740172, 0.2584788172376809, 0.2251075074501229, 0.23507907202002165, 0.2182771931227506, 0.20345353953571751]",,,,,,,,,,,,,,,,,148.735
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroMCMC,TanimotoMatern32,Matern32,product,0.19390616448395775,0.05445389959299662,"[0.11933535555989828, 0.23024339514400324, 0.19848277660940214, 0.1759124842770702, 0.2365472927167898, 0.1767090584346931, 0.22227116205155842, 0.10976913744455473, 0.19435870865309562, 0.3451249866633042, 0.14321423824244417, 0.15404554205482696, 0.19986053766471007, 0.20777967066618802, 0.19493812107682779]",0.8871565601372637,0.06863899393039537,"[0.9556740102314845, 0.8742062187094588, 0.8714770031949203, 0.9114326705887377, 0.861140842355346, 0.9067254924577437, 0.876392352722492, 0.9632657552754756, 0.903105277272219, 0.6615819443559379, 0.9539190212936449, 0.9310417385543774, 0.8653522247099985, 0.8875124159247707, 0.88452143441235]",0.10493622657261883,0.01866198361219845,"[0.07448947887142944, 0.12852390764291463, 0.09885142787379117, 0.09992918688865796, 0.12892342855643854, 0.0956265235875304, 0.10961506101961334, 0.07807466462139213, 0.12100846241466374, 0.1348356822188652, 0.09166340294885406, 0.0925781623680746, 0.12826146493376048, 0.10223532375743827, 0.08942722088585832]",,,,,,,,,,,,,,,,,142.036
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroMCMC,TanimotoMatern32,Matern32,averageProduct,0.2590533393870285,0.07020615405605592,"[0.13595659348458752, 0.30185241490693693, 0.3480570903803763, 0.17236720784023632, 0.28361347028663775, 0.21462974912437469, 0.2900501954482151, 0.22682766606294003, 0.3017615944897719, 0.34651387941373907, 0.17607095486945964, 0.25472739537168665, 0.29461350058275854, 0.3670546243299933, 0.17170375421371334]",0.7983535253607774,0.10310453657861875,"[0.9424665088660886, 0.7837908248418741, 0.6047825053409006, 0.9149666049754893, 0.8003854149050575, 0.8623978641559903, 0.789512928872355, 0.8431434494769657, 0.7664283943616329, 0.6588526597769816, 0.9303494197543083, 0.811444439621023, 0.707416137995472, 0.6489573518623217, 0.910408375605202]",0.15028100347057508,0.032369282414271124,"[0.10174347475335122, 0.18566784702215697, 0.16408057000345064, 0.10509921881640355, 0.17416154822182914, 0.13967056265130534, 0.1416388324590239, 0.12155871480045281, 0.19653618739723844, 0.18439321954978896, 0.1172591647728631, 0.15107953224874207, 0.16999327137527562, 0.19256490417451816, 0.10876800381222629]",,,,,,,,,,,,,,,,,154.411
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroMCMC,TanimotoMatern32,Matern52,sum,0.34220544291749194,0.035738778246051886,"[0.27335032202315857, 0.3574940145670478, 0.3649008918247464, 0.3349057348747699, 0.38829699134035184, 0.28697460304097766, 0.3515936616592409, 0.3068350735461108, 0.4186846904810439, 0.334241937569361, 0.3448891511173259, 0.3398479624824593, 0.37120125592132186, 0.3340822036492734, 0.32578314966519123]",0.6696358932782658,0.06859796029794248,"[0.7674269658505051, 0.6967349515463481, 0.5656047780295311, 0.6789849493553932, 0.6258320249860637, 0.7540016088524739, 0.6907133499534167, 0.7129744127025959, 0.5503586156182498, 0.6825885415300827, 0.7327557520053758, 0.6643726258024936, 0.535523278272993, 0.7091927928193149, 0.6774737518491487]",0.23536154894120054,0.02342751188769518,"[0.19939560222037536, 0.23928298507286733, 0.21719699525762362, 0.21978565354256532, 0.2846683247757711, 0.2176572660322726, 0.2518329278963643, 0.20105844983915236, 0.22631058421401887, 0.26060521045849505, 0.2675836116058685, 0.23565587204105704, 0.2461538958431041, 0.24294521697878035, 0.22029063833969148]",,,,,,,,,,,,,,,,,142.638
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroMCMC,TanimotoMatern32,Matern52,product,0.2099936042715932,0.0561493725179458,"[0.12722780013658386, 0.26861519829351016, 0.2102039821931092, 0.17630609833284003, 0.2517175979453474, 0.19471744222552928, 0.21544317117899642, 0.11607530038750803, 0.20495642976723605, 0.34893280651902386, 0.15042658756918392, 0.1872066267409403, 0.2408993211950944, 0.22771779319342156, 0.2294579083955735]",0.8680329862916084,0.07229433117195806,"[0.9496169777912585, 0.8287833586409659, 0.8558491961468906, 0.9110358784225597, 0.8427590278862154, 0.8867456084082181, 0.88386996254466, 0.958923801465952, 0.8922505135096702, 0.654073106102329, 0.9491608235143465, 0.8981571674404707, 0.8043786589271248, 0.8648884690105318, 0.8400022445629336]",0.11367659504298439,0.02131669161613053,"[0.08059306840390754, 0.1493311937345969, 0.10694610481496855, 0.10645354561701466, 0.13900642801567042, 0.10208115942666354, 0.10811785034088998, 0.07936455116154698, 0.1295536489860469, 0.13405375634819472, 0.09796540000212475, 0.11419336842952706, 0.14838860527805692, 0.1109758742338592, 0.09812437085169758]",,,,,,,,,,,,,,,,,149.751
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroMCMC,TanimotoMatern32,Matern52,averageProduct,0.27911946665398435,0.0791132085766106,"[0.13019611365459083, 0.30464327372836997, 0.3692292480818723, 0.18138290843086458, 0.3370313283619504, 0.22082079030011506, 0.30018921157950046, 0.25925863308172176, 0.3138839271605239, 0.3712842011455919, 0.19023390741247267, 0.3017203731939488, 0.32568930920596323, 0.4029606972519381, 0.17826807722034127]",0.7641815556037821,0.12311025475648553,"[0.9472386109695523, 0.779774300564622, 0.5552382997044225, 0.905838590975132, 0.7181103653467469, 0.8543450465142526, 0.774540125691884, 0.7950834357455749, 0.7472854367681641, 0.6083359960898993, 0.9186935205497369, 0.7354563711521003, 0.6424374009439306, 0.5769186700108374, 0.9034271630298762]",0.16171220680624068,0.036874795496958504,"[0.09964533126803253, 0.18677725957872332, 0.1722134852346695, 0.10811756165939239, 0.22232278209705048, 0.14452828176181967, 0.15155373900954572, 0.14477539417858948, 0.21125525380264054, 0.18017063277336465, 0.134305630069766, 0.16996598321748124, 0.1842611384703328, 0.20491657706518232, 0.11087405190702002]",,,,,,,,,,,,,,,,,178.861
Robust Learning from Literature Data_Model Generalizability and Uncertainty for Predicting Conjugated Polymer Solution Conformation,target_log Rg (nm),GpyroMCMC,TanimotoMatern32,RBF,sum,0.35664893095940464,0.03266420455697733,"[0.29337117032537796, 0.38065913144286134, 0.37480408751935285, 0.396809476790077, 0.4114129843270084, 0.29952001536151923, 0.37206947537202784, 0.3135681531233384, 0.37512224612104855, 0.3540582116605155, 0.36140564837832645, 0.3517588877278731, 0.37599578085090785, 0.3502887815527699, 0.3388899138380647]",0.6419864521033397,0.0644091741584767,"[0.7321108984372035, 0.6561592739271299, 0.5417063633075265, 0.549344892974055, 0.5799562271669318, 0.7320232980746175, 0.6536404362396089, 0.70023942860362, 0.6390577220864924, 0.6438359648277836, 0.706546582598117, 0.6404343525893648, 0.5234472032785651, 0.6802938874939174, 0.6510002499451655]",0.25324375921372133,0.0251500517348766,"[0.21796647402118519, 0.24770680774100315, 0.2293653902933011, 0.2838375384159098, 0.2978942670415247, 0.23162069867587187, 0.2654032588695302, 0.20654789328977466, 0.2679624139146846, 0.2752993156348597, 0.2753457959117988, 0.23908666125261915, 0.27016928063030404, 0.2526387811103749, 0.23781181140307775]",,,,,,,,,,,,,,,,,130.058
